"","x"
"1","class-1, PIST-6, PIRE-4, ACRU-3, ACSA-3, QURU-3, PRSE-2, TIAM-1, FRAM-1, POTR-1, plotba-28"
"2","class-2, PIST-6, QURU-3, QUAL-2, ACRU-2, FRAM-1, plotba-21"
"3","class-3, QURU-7, PIST-6, ACRU-4, FAGR-1, BEAL-1, QUAL-1, ACSA-1, plotba-28"
"4","class-4, PIST-12, ACRU-5, QURU-3, CACO-2, QUAL-2, plotba-25"
"5","class-5, QURU-8, ACRU-7, TSCA-2, PIST-1, QUAL-1, plotba-25"
"6","class-6, QURU-8, PIST-5, ACRU-3, QUCO-2, QUAL-1, plotba-26"
"7","class-7, PIST-11, ACRU-4, QURU-2, TSCA-2, plotba-25"
"8","class-8, QURU-13, PIRE-8, PIST-8, ACRU-2, plotba-33"
"9","class-9, TSCA-21, QURU-12, ACRU-4, FAGR-2, BEPA-2, BELE-1, PIST-1, plotba-43"
"10","class-10, TSCA-15, PIST-10, ACRU-6, QURU-3, BELE-1, plotba-39"
"11","class-11, QURU-12, ACRU-5, QUAL-2, PIST-1, plotba-27"
"12","class-12, PIST-12, ACRU-7, QURU-3, QUAL-1, plotba-29"
"13","class-13, ACRU-7, PIST-6, QURU-4, TSCA-4, FAGR-2, BEAL-1, plotba-28"
"14","class-14, QURU-10, TSCA-4, ACRU-4, PIST-3, plotba-26"
"15","class-15, QUCO-5, QURU-4, QUAL-2, ACRU-2, PIST-2, plotba-20"
