LandisData	"Dynamic Input Data"				
					
>>Year	Ecoregion	Species	ProbEst	MaxANPP	MaxB
>>____	_________	_______	_______	_______	____
0	1	ACERRUBR	0.297	662	19864
0	1	ACERSACC	0.7	877	26308
0	1	BETUALLE	0.855	805	24143
0	1	BETULENT	0.562	805	24143
0	1	BETUPAPY	0.591	856	25672
0	1	CARYCORD	0.266	982	29459
0	1	FAGUGRAN	0.248	729	21882
0	1	FRAXAMER	0.273	762	22855
0	1	PINURESI	0.708	214	6419
0	1	PINUSTRO	0.785	636	19069
0	1	POPUGRAN	0.763	955	28639
0	1	POPUTREM	0.957	778	23337
0	1	PRUNSERO	0.356	941	28217
0	1	QUERALBA	0.35	895	26836
0	1	QUERCOCC	0.004	561	16840
0	1	QUERRUBR	0.781	725	21758
0	1	TILIAMER	0.523	1146	34391
0	1	TSUGCANA	0.691	253	7582
0	2	ACERRUBR	0.27	691	20715
0	2	ACERSACC	0.604	902	27073
0	2	BETUALLE	0.542	831	24920
0	2	BETULENT	0.464	831	24920
0	2	BETUPAPY	0.303	882	26447
0	2	CARYCORD	0.335	1002	30073
0	2	FAGUGRAN	0.259	755	22648
0	2	FRAXAMER	0.31	789	23659
0	2	PINURESI	0.434	240	7215
0	2	PINUSTRO	0.678	651	19532
0	2	POPUGRAN	0.622	979	29357
0	2	POPUTREM	0.704	805	24151
0	2	PRUNSERO	0.391	964	28935
0	2	QUERALBA	0.338	920	27589
0	2	QUERCOCC	0.021	585	17564
0	2	QUERRUBR	0.588	753	22592
0	2	TILIAMER	0.462	1163	34890
0	2	TSUGCANA	0.49	245	7356
0	3	ACERRUBR	0.412	703	21104
0	3	ACERSACC	0.855	924	27733
0	3	BETUALLE	0.853	848	25451
0	3	BETULENT	0.779	848	25451
0	3	BETUPAPY	0.325	904	27118
0	3	CARYCORD	0.426	1042	31270
0	3	FAGUGRAN	0.385	769	23069
0	3	FRAXAMER	0.407	806	24178
0	3	PINURESI	0.447	250	7513
0	3	PINUSTRO	0.901	665	19956
0	3	POPUGRAN	0.885	1005	30136
0	3	POPUTREM	0.952	824	24724
0	3	PRUNSERO	0.478	991	29717
0	3	QUERALBA	0.49	945	28343
0	3	QUERCOCC	0.035	596	17886
0	3	QUERRUBR	0.891	770	23095
0	3	TILIAMER	0.74	1200	36014
0	3	TSUGCANA	0.816	255	7647
0	4	ACERRUBR	0.085	666	19976
0	4	ACERSACC	0.284	865	25947
0	4	BETUALLE	0.202	799	23960
0	4	BETULENT	0.154	799	23960
0	4	BETUPAPY	0.194	844	25317
0	4	CARYCORD	0.183	950	28498
0	4	FAGUGRAN	0.086	729	21859
0	4	FRAXAMER	0.159	757	22700
0	4	PINURESI	0.325	230	6910
0	4	PINUSTRO	0.352	636	19076
0	4	POPUGRAN	0.291	937	28097
0	4	POPUTREM	0.364	771	23130
0	4	PRUNSERO	0.215	923	27688
0	4	QUERALBA	0.128	879	26366
0	4	QUERCOCC	0.006	565	16951
0	4	QUERRUBR	0.235	722	21647
0	4	TILIAMER	0.161	1111	33341
0	4	TSUGCANA	0.168	246	7372
0	5	ACERRUBR	0.281	662	19868
0	5	ACERSACC	0.678	875	26242
0	5	BETUALLE	0.845	803	24079
0	5	BETULENT	0.517	803	24079
0	5	BETUPAPY	0.62	853	25600
0	5	CARYCORD	0.253	979	29373
0	5	FAGUGRAN	0.233	727	21823
0	5	FRAXAMER	0.263	759	22782
0	5	PINURESI	0.728	211	6323
0	5	PINUSTRO	0.757	630	18914
0	5	POPUGRAN	0.745	952	28573
0	5	POPUTREM	0.943	776	23265
0	5	PRUNSERO	0.346	938	28150
0	5	QUERALBA	0.34	892	26759
0	5	QUERCOCC	0.003	560	16796
0	5	QUERRUBR	0.753	723	21689
0	5	TILIAMER	0.495	1144	34311
0	5	TSUGCANA	0.678	248	7450
0	6	ACERRUBR	0.239	694	20823
0	6	ACERSACC	0.551	908	27230
0	6	BETUALLE	0.496	835	25063
0	6	BETULENT	0.398	835	25063
0	6	BETUPAPY	0.326	887	26604
0	6	CARYCORD	0.307	1009	30267
0	6	FAGUGRAN	0.226	759	22779
0	6	FRAXAMER	0.281	793	23789
0	6	PINURESI	0.482	242	7270
0	6	PINUSTRO	0.624	659	19757
0	6	POPUGRAN	0.57	984	29522
0	6	POPUTREM	0.655	809	24285
0	6	PRUNSERO	0.357	970	29110
0	6	QUERALBA	0.307	925	27754
0	6	QUERCOCC	0.012	588	17653
0	6	QUERRUBR	0.53	757	22711
0	6	TILIAMER	0.409	1171	35117
0	6	TSUGCANA	0.435	254	7635
0	7	ACERRUBR	0.335	692	20770
0	7	ACERSACC	0.756	911	27329
0	7	BETUALLE	0.819	836	25083
0	7	BETULENT	0.647	836	25083
0	7	BETUPAPY	0.44	890	26707
0	7	CARYCORD	0.342	1025	30753
0	7	FAGUGRAN	0.299	758	22739
0	7	FRAXAMER	0.334	793	23798
0	7	PINURESI	0.585	239	7173
0	7	PINUSTRO	0.833	657	19710
0	7	POPUGRAN	0.797	991	29718
0	7	POPUTREM	0.928	811	24326
0	7	PRUNSERO	0.416	977	29300
0	7	QUERALBA	0.402	931	27917
0	7	QUERCOCC	0.013	586	17582
0	7	QUERRUBR	0.806	757	22716
0	7	TILIAMER	0.611	1186	35572
0	7	TSUGCANA	0.712	256	7670
0	8	ACERRUBR	0.285	668	20030
0	8	ACERSACC	0.686	881	26421
0	8	BETUALLE	0.86	808	24244
0	8	BETULENT	0.536	808	24244
0	8	BETUPAPY	0.621	859	25784
0	8	CARYCORD	0.25	987	29609
0	8	FAGUGRAN	0.23	733	21975
0	8	FRAXAMER	0.26	765	22951
0	8	PINURESI	0.746	215	6441
0	8	PINUSTRO	0.772	628	18845
0	8	POPUGRAN	0.753	959	28776
0	8	POPUTREM	0.956	781	23445
0	8	PRUNSERO	0.345	944	28334
0	8	QUERALBA	0.337	898	26948
0	8	QUERCOCC	0.003	564	16919
0	8	QUERRUBR	0.77	729	21869
0	8	TILIAMER	0.502	1150	34508
0	8	TSUGCANA	0.683	240	7202
0	9	ACERRUBR	0.281	665	19935
0	9	ACERSACC	0.682	876	26290
0	9	BETUALLE	0.828	804	24124
0	9	BETULENT	0.535	804	24124
0	9	BETUPAPY	0.592	856	25666
0	9	CARYCORD	0.242	982	29469
0	9	FAGUGRAN	0.223	729	21867
0	9	FRAXAMER	0.25	762	22855
0	9	PINURESI	0.73	214	6417
0	9	PINUSTRO	0.77	616	18474
0	9	POPUGRAN	0.742	955	28637
0	9	POPUTREM	0.936	778	23348
0	9	PRUNSERO	0.345	940	28192
