LandisData	Dynamic Input Data				
					
>>Year	Ecoregion	Species	ProbEst	MaxANPP	MaxB
>>____	_________	_______	_______	_______	____
0	1	ABIEBALS	0.789	258	7730
0	1	ACERPENS	0.128	756	22680
0	1	ACERRUBR	0.072	629	18880
0	1	ACERSACC	0.222	837	25120
0	1	BETUALLE	0.403	768	23030
0	1	BETUPAPY	0.84	815	24460
0	1	FAGUGRAN	0.033	696	20880
0	1	FRAXAMER	0.047	725	21740
0	1	LARILARI	0.899	40	1210
0	1	PICEMARI	0.756	162	4850
0	1	PICERUBE	0.128	163	4880
0	1	PINURESI	0.579	193	5800
0	1	PINUSTRO	0.365	600	17990
0	1	POPUGRAN	0.316	914	27410
0	1	POPUTREM	0.796	739	22180
0	1	PRUNSERO	0.102	899	26960
0	1	QUERRUBR	0.394	688	20640
0	1	SORBAMER	0.843	293	8790
0	1	TILIAMER	0.08	1100	32990
0	1	TSUGCANA	0.298	248	7450
0	2	ABIEBALS	0.885	265	7950
0	2	ACERPENS	0.136	751	22530
0	2	ACERRUBR	0.084	623	18700
0	2	ACERSACC	0.255	830	24900
0	2	BETUALLE	0.476	762	22860
0	2	BETUPAPY	0.9	808	24250
0	2	FAGUGRAN	0.04	690	20700
0	2	FRAXAMER	0.045	718	21530
0	2	LARILARI	0.947	40	1210
0	2	PICEMARI	0.796	165	4950
0	2	PICERUBE	0.136	166	4980
0	2	PINURESI	0.707	190	5690
0	2	PINUSTRO	0.44	602	18050
0	2	POPUGRAN	0.369	906	27170
0	2	POPUTREM	0.815	732	21970
0	2	PRUNSERO	0.113	891	26740
0	2	QUERRUBR	0.488	682	20450
0	2	SORBAMER	0.923	301	9020
0	2	TILIAMER	0.091	1093	32790
0	2	TSUGCANA	0.341	254	7610
0	3	ABIEBALS	0.802	283	8480
0	3	ACERPENS	0.088	738	22140
0	3	ACERRUBR	0.04	611	18320
0	3	ACERSACC	0.143	815	24440
0	3	BETUALLE	0.341	748	22430
0	3	BETUPAPY	0.876	792	23760
0	3	FAGUGRAN	0.017	677	20320
0	3	FRAXAMER	0.021	704	21110
0	3	LARILARI	0.873	43	1280
0	3	PICEMARI	0.82	175	5260
0	3	PICERUBE	0.088	177	5310
0	3	PINURESI	0.538	177	5310
0	3	PINUSTRO	0.304	592	17770
0	3	POPUGRAN	0.257	889	26660
0	3	POPUTREM	0.714	717	21510
0	3	PRUNSERO	0.063	875	26250
0	3	QUERRUBR	0.35	667	20000
0	3	SORBAMER	0.851	314	9420
0	3	TILIAMER	0.03	1075	32240
0	3	TSUGCANA	0.254	269	8060
0	4	ABIEBALS	0.793	301	9030
0	4	ACERPENS	0.038	718	21530
0	4	ACERRUBR	0.02	589	17670
0	4	ACERSACC	0.071	789	23660
0	4	BETUALLE	0.198	724	21720
0	4	BETUPAPY	0.923	766	22990
0	4	FAGUGRAN	0.009	656	19670
0	4	FRAXAMER	0.014	679	20380
0	4	LARILARI	0.903	41	1220
0	4	PICEMARI	0.927	186	5570
0	4	PICERUBE	0.038	188	5640
0	4	PINURESI	0.312	160	4790
0	4	PINUSTRO	0.173	575	17250
0	4	POPUGRAN	0.146	862	25850
0	4	POPUTREM	0.648	692	20760
0	4	PRUNSERO	0.031	847	25420
0	4	QUERRUBR	0.238	643	19290
0	4	SORBAMER	0.811	331	9920
0	4	TILIAMER	0.018	1044	31330
0	4	TSUGCANA	0.156	284	8510
0	5	ABIEBALS	0.892	241	7230
0	5	ACERPENS	0.188	763	22890
0	5	ACERRUBR	0.119	637	19100
0	5	ACERSACC	0.351	846	25390
0	5	BETUALLE	0.557	776	23270
0	5	BETUPAPY	0.862	824	24710
0	5	FAGUGRAN	0.049	703	21090
0	5	FRAXAMER	0.065	733	21990
0	5	LARILARI	0.943	35	1040
0	5	PICEMARI	0.734	150	4490
0	5	PICERUBE	0.188	151	4540
0	5	PINURESI	0.703	201	6030
0	5	PINUSTRO	0.478	597	17910
0	5	POPUGRAN	0.452	922	27670
0	5	POPUTREM	0.846	748	22430
0	5	PRUNSERO	0.151	908	27240
0	5	QUERRUBR	0.504	697	20900
0	5	SORBAMER	0.937	262	7860
0	5	TILIAMER	0.135	1108	33240
0	5	TSUGCANA	0.378	230	6910
0	6	ABIEBALS	0.855	238	7150
0	6	ACERPENS	0.172	769	23080
0	6	ACERRUBR	0.158	643	19300
0	6	ACERSACC	0.436	853	25600
0	6	BETUALLE	0.602	783	23480
0	6	BETUPAPY	0.752	832	24950
0	6	FAGUGRAN	0.048	709	21270
0	6	FRAXAMER	0.119	740	22200
0	6	LARILARI	0.917	28	850
0	6	PICEMARI	0.598	147	4420
0	6	PICERUBE	0.172	150	4500
0	6	PINURESI	0.736	209	6270
0	6	PINUSTRO	0.584	594	17830
0	6	POPUGRAN	0.514	931	27930
0	6	POPUTREM	0.882	756	22670
0	6	PRUNSERO	0.213	915	27460
0	6	QUERRUBR	0.58	703	21100
0	6	SORBAMER	0.903	242	7260
0	6	TILIAMER	0.236	1116	33490
0	6	TSUGCANA	0.442	227	6800
0	7	ABIEBALS	0.815	250	7500
0	7	ACERPENS	0.12	759	22770
0	7	ACERRUBR	0.086	633	18980
0	7	ACERSACC	0.262	841	25240
0	7	BETUALLE	0.444	772	23160
0	7	BETUPAPY	0.81	819	24580
0	7	FAGUGRAN	0.031	700	20990
0	7	FRAXAMER	0.051	729	21860
0	7	LARILARI	0.895	39	1160
0	7	PICEMARI	0.694	156	4690
0	7	PICERUBE	0.12	158	4730
0	7	PINURESI	0.653	196	5890
0	7	PINUSTRO	0.422	599	17980
0	7	POPUGRAN	0.356	918	27530
0	7	POPUTREM	0.807	743	22280
0	7	PRUNSERO	0.114	903	27080
0	7	QUERRUBR	0.443	692	20750
0	7	SORBAMER	0.862	282	8450
0	7	TILIAMER	0.095	1104	33110
0	7	TSUGCANA	0.301	240	7210
0	8	ABIEBALS	0.9	268	8040
0	8	ACERPENS	0.123	748	22440
0	8	ACERRUBR	0.075	620	18600
0	8	ACERSACC	0.234	826	24790
0	8	BETUALLE	0.444	758	22740
0	8	BETUPAPY	0.896	804	24110
0	8	FAGUGRAN	0.026	687	20620
0	8	FRAXAMER	0.048	714	21420
0	8	LARILARI	0.936	40	1210
0	8	PICEMARI	0.787	167	5000
0	8	PICERUBE	0.123	168	5040
0	8	PINURESI	0.667	187	5610
0	8	PINUSTRO	0.416	600	18000
0	8	POPUGRAN	0.34	902	27050
0	8	POPUTREM	0.806	728	21850
0	8	PRUNSERO	0.115	887	26620
0	8	QUERRUBR	0.448	678	20330
0	8	SORBAMER	0.933	304	9130
