"","mapcodes0","ages"
"1",1,93
"2",2,75.8333333333333
"3",3,57
"4",4,82.5
"5",5,78.5714285714286
"6",6,75.6
"7",7,66
"8",8,81
"9",9,94
"10",10,73
"11",11,76
"12",12,79.75
"13",13,79.4285714285714
"14",14,75
"15",15,57.3333333333333
"16",16,49
"17",17,89.5
"18",18,56
"19",19,87.1666666666667
"20",20,90.6666666666667
"21",21,59.4
"22",22,79
"23",23,101.2
"24",24,66.8333333333333
"25",25,86.6
"26",26,105
"27",27,102.25
"28",28,47.5
"29",29,75.8
"30",30,86.75
"31",31,94.5714285714286
"32",32,82.5
"33",33,65.8333333333333
"34",34,75.75
"35",35,75
"36",36,81.6666666666667
"37",37,48
"38",38,68.6
"39",39,61.6666666666667
"40",40,34.5
"41",41,61.4
"42",42,71.4
"43",44,85.4
"44",45,68.3333333333333
"45",46,68.3333333333333
"46",47,80.5
"47",48,67.375
"48",49,64.5
"49",50,98.8
"50",51,91.375
"51",52,97.125
"52",53,82
"53",54,89.1111111111111
"54",55,85.6
"55",56,93
"56",57,88.5
"57",58,82.5
"58",59,96
"59",60,91.1666666666667
"60",61,80.875
"61",62,68
"62",63,52.6666666666667
"63",64,69.75
"64",65,71.5
"65",66,87.3333333333333
"66",67,69.2
"67",68,76.1428571428571
"68",69,20.5
"69",70,57
"70",71,67.25
"71",72,82.25
"72",73,77.25
"73",74,76.6666666666667
"74",75,79.3333333333333
"75",76,68.2
"76",77,64.3333333333333
"77",78,85.6
"78",79,46.5
"79",80,35
"80",81,74.25
"81",82,77.5
"82",83,56.6
"83",84,80.4
"84",85,69.3333333333333
"85",86,79.3333333333333
"86",87,54.5
"87",88,82
"88",89,98
"89",90,45.8
"90",91,58.2
"91",92,29
"92",93,66.1428571428571
"93",94,32.25
"94",95,88.3333333333333
"95",96,79
"96",97,51.75
"97",98,86
"98",99,95.8
"99",100,58.8
"100",101,55.8
"101",102,76.25
"102",103,65.6666666666667
"103",104,59.75
"104",105,67.8
"105",106,41
"106",107,72.5
"107",108,70.75
"108",109,66.25
"109",110,71
"110",111,66.25
"111",112,58.75
"112",113,53.3333333333333
"113",114,59.3333333333333
"114",115,57
"115",116,53
"116",119,86.4
"117",120,65.6666666666667
"118",121,99.6666666666667
"119",122,54.1428571428571
"120",123,38
"121",124,74.3333333333333
"122",125,77.3333333333333
"123",126,60
"124",128,60
"125",129,61.25
"126",130,79.8
"127",131,6
"128",132,79.5
"129",133,53.3333333333333
"130",134,105.5
"131",135,88.1666666666667
"132",136,79.5
"133",137,73.4285714285714
"134",138,92.5
"135",139,93.4285714285714
"136",140,69.4
"137",141,81
"138",142,69.8571428571429
"139",143,59.5
"140",144,65.6666666666667
"141",145,69.5
"142",146,77.5
"143",147,78.3333333333333
"144",148,63
"145",149,93
"146",150,83.7142857142857
"147",151,80.4285714285714
"148",152,70.375
"149",153,97.6
"150",154,87
"151",155,65.1428571428571
"152",156,73.5
"153",157,101.333333333333
"154",158,73.6666666666667
"155",159,84.4285714285714
"156",160,69.3333333333333
"157",161,77.3333333333333
"158",162,75
"159",163,67.5
"160",164,76.6666666666667
"161",165,48.2857142857143
"162",166,80.625
"163",167,61.75
"164",168,84.6666666666667
"165",169,69
"166",170,84
"167",171,75.4285714285714
"168",172,72
"169",173,40.1666666666667
"170",174,85.3333333333333
"171",175,86.4285714285714
"172",176,80.6666666666667
"173",177,85.625
"174",178,78.75
"175",179,67.6
"176",180,99.25
"177",181,88
"178",182,99.8571428571429
"179",183,43
"180",184,85
"181",185,66.3333333333333
"182",186,65
"183",187,77.8571428571429
"184",188,98.4
"185",189,73.8333333333333
"186",190,75.8571428571429
"187",191,89
"188",192,26
"189",193,55.4
"190",194,85.5
"191",195,98.1666666666667
"192",196,91
"193",197,67.2
"194",198,106.6
"195",199,78.3333333333333
"196",200,49.6
"197",201,79.25
"198",202,79
"199",203,82.3333333333333
"200",204,92.75
"201",205,71.2857142857143
"202",206,62.6666666666667
"203",207,72.3333333333333
"204",208,72.8571428571429
"205",209,81.8571428571429
"206",210,82.7142857142857
"207",211,97.5
"208",212,84.3333333333333
"209",213,98.8333333333333
"210",214,60.6666666666667
"211",215,89.3333333333333
"212",216,66.2
"213",217,94.2
"214",218,64
"215",219,59.5
"216",220,79.1666666666667
"217",221,81.5
"218",222,72.25
"219",223,82.25
"220",224,78
"221",225,83.5
"222",226,73.5
"223",227,91.8333333333333
"224",228,84.375
"225",229,91.875
"226",230,62.5714285714286
"227",231,91.4285714285714
"228",232,83
"229",233,57.2857142857143
"230",234,61
"231",235,73.5
"232",236,74.8333333333333
"233",237,89.2
"234",238,59.1428571428571
"235",239,58.5
"236",240,74.6666666666667
"237",241,80.5
"238",242,84.75
"239",243,65.2
"240",244,75.2857142857143
"241",245,73
"242",246,92.6666666666667
"243",247,93
"244",248,75.125
