"spcode","newcode","other"
"acerrubr","ACERRUBR","ACRU"
"acersacc","ACERSACC","ACSA"
"betualle","BETUALLE","BEAL"
"betulent","BETULENT","BELE"
"betupapy","BETUPAPY","BEPA"
"carycord","CARYCORD","CACO"
"fagugran","FAGUGRAN","FAGR"
"fraxamer","FRAXAMER","FRAM"
"pinuresi","PINURESI","PIRE"
"pinustro","PINUSTRO","PIST"
"popugran","POPUGRAN","POGR"
"poputrem","POPUTREM","POTR"
"prunsero","PRUNSERO","PRSE"
"queralba","QUERALBA","QUAL"
"quercocc","QUERCOCC","QUCO"
"querrubr","QUERRUBR","QURU"
"tiliamer","TILIAMER","TIAM"
"tsugcana","TSUGCANA","TSCA"
