mukey,FirstOfslopegradwta,FirstOfbrockdepmin,SumOfksat_weight1,SumOfsand_weight1,SumOfsilt_weight1,SumOfclay_weight1,SumOffieldcap_weight1,SumOfwiltpt_weight1,SumOfmaxdepth_weight,texture,texdesc,texcl
1386959,12,94,17.24051841,59.23778007,30.13233931,5.506857111,13.88727,6.112034727,88.96,FSL,Fine sandy loam,Fine sandy loam
1386960,20,94,16.97321969,59.16840134,30.19618611,5.554942217,13.91748957,6.12548324,89.08,FSL,Fine sandy loam,Fine sandy loam
1386961,44.29999924,76,21.92786105,57.50845828,30.69884146,6.186474326,14.58874118,6.566272111,82.24,GR-FSL,Gravelly fine sandy loam,Fine sandy loam
1386962,37.20000076,,116.76557,88.89600011,16.79700005,1.906999991,9.852699909,3.230099976,100,LS,Loamy sand,Loamy sand
1386964,1,,13.25184995,8.179300032,3.572600008,0.5781,49.85942132,14.33966968,100,MUCK,Muck,
1395613,5.900000095,38,22.72630719,57.55660963,28.65013382,5.06988589,15.96799329,7.619443843,80.2,SL,Sandy loam,Sandy loam
1395694,20,38,21.87957863,56.99259854,28.52704838,5.005862598,16.45100409,8.266416079,74.32,SL,Sandy loam,Sandy loam
1395695,11.80000019,41,15.5538432,52.41762131,32.65776098,7.515028498,16.95899204,8.401042219,68.1,GR-FSL,Gravelly fine sandy loam,Fine sandy loam
1395699,11.80000019,,102.91,89.02225003,10.93350001,1.494249998,7.865700078,2.898849975,100,GRV-S,Very gravelly sand,Sand
1395700,5,,100.026,87.2279,10.6481,1.374,7.657500053,2.793659976,100,GRV-S,Very gravelly sand,Sand
1395701,2,,102.91,89.02225003,10.93350001,1.494249998,7.865700078,2.898849975,100,GRV-S,Very gravelly sand,Sand
1395702,19.89999962,,103.804,88.89730004,10.98330002,1.539399996,7.848480078,2.927619976,100,GRV-S,Very gravelly sand,Sand
1419828,1.100000024,,29.58149802,68.51065997,27.66144003,3.8279,13.90095004,5.13078001,100,FSL,Fine sandy loam,Fine sandy loam
1419831,1.899999976,,30.25433201,69.53041999,26.34568001,4.1239,13.05943009,4.246780007,100,FSL,Fine sandy loam,Fine sandy loam
1903065,23.70000076,0,13.01871764,42.23590026,26.09246098,6.031523235,14.07164159,7.078703295,53.9,GR-FSL,Gravelly fine sandy loam,Fine sandy loam
1903066,25,48,30.49526375,66.14806244,22.35357812,7.222473722,14.39790662,6.750483933,72.36842105,GR-FSL,Gravelly fine sandy loam,Fine sandy loam
1903067,2,,3.381875028,16.85979999,52.28445001,32.95575,30.00200031,18.40980016,100,SIC,Silty clay,Silty clay
1903069,30,,104.4,88.68450005,11.40500002,1.310499995,8.209400017,2.708800002,100,GRV-S,Very gravelly sand,Sand
1903070,2,,49.25580503,81.80045073,41.55080038,3.99875,15.51204983,5.070349967,100,FSL,Fine sandy loam,Fine sandy loam
1903071,5,,15.190102,61.62321006,28.68959003,4.767199998,15.34974016,6.566759967,100,FSL,Fine sandy loam,Fine sandy loam
1903072,6,,6.810440047,69.70940028,24.78760007,5.503,13.26830003,6.219700125,100,FSL,Fine sandy loam,Fine sandy loam
1903073,1,,59.15599762,81.987,15.076,3.937,12.04380003,4.265099996,100,GRV-S,Very gravelly sand,Sand
1903074,5.900000095,,38.13907,66.42055945,23.77326993,3.626170038,13.0503501,5.216309984,100,GR-LS,Gravelly loamy sand,Loamy sand
1903075,5.800000191,,36.50434,64.80035939,24.0739399,3.825700042,13.73274009,5.361119987,100,GR-LS,Gravelly loamy sand,Loamy sand
1903076,6,,19.84816074,64.68629548,24.90715621,10.40654945,15.33688113,7.227358077,92.8,GR-SL,Gravelly sandy loam,Sandy loam
1903082,9,41,23.29000092,65.47742884,25.64744859,8.875121951,16.29991365,8.55019845,61.94736842,GR-SL,Gravelly sandy loam,Sandy loam
1903083,24.70000076,41,15.42041983,47.69562144,29.08984146,6.809890116,16.62709301,8.547548918,58.45,GR-FSL,Gravelly fine sandy loam,Fine sandy loam
1903084,20,46,32.24715029,50.35807983,38.31449867,7.60599681,15.64682371,6.145960787,71.21052632,FSL,Fine sandy loam,Fine sandy loam
1903085,21.5,36,29.6856216,63.77816247,29.05842792,7.163409611,13.66115314,6.353528671,80.10526316,GR-FSL,Gravelly fine sandy loam,Fine sandy loam
1903417,9.899999619,,70.77999878,,,,,,100,VAR,Variable,
1903843,30,,104.4,88.68450005,11.40500002,1.310499995,8.209400017,2.708800002,100,GRV-S,Very gravelly sand,Sand
1903844,19.60000038,,12.7068805,58.498,30.2996,6.4924,16.08610998,7.60676986,100,GR-FSL,Gravelly fine sandy loam,Fine sandy loam
1903845,11.69999981,,12.5980705,58.4422,30.3096,6.5082,16.14262998,7.648169861,100,GR-FSL,Gravelly fine sandy loam,Fine sandy loam
1903846,6,,5.292500048,71.26400024,23.08600006,5.65,12.00600028,5.104999921,100,GR-LS,Gravelly loamy sand,Loamy sand
1903847,20,,91.73999786,74.15100037,22.58900009,3.26,6.681000166,2.199000013,100,GRV-LS,Very gravelly loamy sand,Loamy sand
1903848,12,41,9.170000076,55.79999924,36.70000076,7.5,16.57073151,8.721951601,41,VFSL,Very fine sandy loam,Very fine sandy loam
1903849,9,41,23.29000092,65.5879498,25.10573664,9.306312769,16.83284469,9.041045318,57.47058824,GR-SL,Gravelly sandy loam,Sandy loam
1903850,9,,9.469817003,54.40847391,38.68227826,3.057943478,14.54211037,5.472604337,96.76,FSL,Fine sandy loam,Fine sandy loam
1903851,30,46,13.47566945,48.7292428,31.23882088,4.301470912,20.05078616,8.076364758,67.2,FSL,Fine sandy loam,Fine sandy loam
1903852,12,,9.875282718,52.80988181,39.33129474,7.858823529,15.44376464,6.831647156,100,GR-FSL,Gravelly fine sandy loam,Fine sandy loam
1903854,48,,11.20248056,54.84545652,36.00363043,4.09873913,16.47731745,6.561273862,94.6,GR-FSL,Gravelly fine sandy loam,Fine sandy loam
1903855,27.29999924,,13.6399945,56.95003997,31.28323999,7.276720002,16.07894,7.472779975,100,GR-FSL,Gravelly fine sandy loam,Fine sandy loam
1903857,20,,10.16133371,53.30033292,39.76188969,6.937777778,15.25333302,6.683222237,100,FSL,Fine sandy loam,Fine sandy loam
1903858,20,46,25.24799175,47.37950091,40.32043967,8.140819964,16.87445002,6.713250291,67.82352941,FSL,Fine sandy loam,Fine sandy loam
1903865,3.5,,9.50860092,44.8204,28.7484,3.4712,22.54180029,7.704240041,100,CB-FSL,Cobbly fine sandy loam,Fine sandy loam
1903873,24.70000076,41,15.42041983,47.69562144,29.08984146,6.809890116,16.62709301,8.547548918,58.45,GR-FSL,Gravelly fine sandy loam,Fine sandy loam
2409045,25,,15.82498,61.66321006,28.69119003,4.765599998,15.24322016,6.496599967,100,FSL,Fine sandy loam,Fine sandy loam
2494321,2,,49.93474795,72.4565,19.691,4.4525,14.94448007,5.672430071,100,FSL,Fine sandy loam,Fine sandy loam
